VENUE,CATEGORY,TOP_LEVEL_CATEGORY,NEIGHBORHOOD,NEIGHBORHOOD_LAT,NEIGHBORHOOD_LNG
7,Theater @ Altamira Apartments,Indie Movie Theater,Arts & Entertainment,West Seattle Neighborhood,47.5611055,-122.38677905
8,"Monkeywrench studio,seattle",Rock Club,Arts & Entertainment,West Seattle Neighborhood,47.5611055,-122.38677905
9,Larry,Comedy Club,Arts & Entertainment,West Seattle Neighborhood,47.5611055,-122.38677905
10,Upstairs/Downstairs,Theater,Arts & Entertainment,West Seattle Neighborhood,47.5611055,-122.38677905
0,Clock-Out Lounge,Bar,Arts & Entertainment,Beacon Hill Neighborhood,47.55955705,-122.30464627
0,Renegade Art Fair,Art Gallery,Arts & Entertainment,Sand Point Neighborhood,47.68212632,-122.26366983
1,Seattle Musical Theater,Theater,Arts & Entertainment,Sand Point Neighborhood,47.68212632,-122.26366983
2,Sandpoint Gallery (building 5),Art Gallery,Arts & Entertainment,Sand Point Neighborhood,47.68212632,-122.26366983
3,Magnuson Community Center Theater,Theater,Arts & Entertainment,Sand Point Neighborhood,47.68212632,-122.26366983
0,South Park Lights,Art Gallery,Arts & Entertainment,South Park Neighborhood,47.52646567,-122.32291525
0,Southgate Roller Rink,Roller Rink,Arts & Entertainment,White Center Neighborhood,47.51735186,-122.35402019
1,Neplanta Cultural Arts Gallery,Art Gallery,Arts & Entertainment,White Center Neighborhood,47.51735186,-122.35402019
0,Fronds on Morgan,Performing Arts Venue,Arts & Entertainment,Rainier Valley Neighborhood,47.54616093,-122.27606631
